Genotype,Bacteria,Condition,Odor,Method,Concentration,Response.time,Experimenter,Date,,,
cest-2.1,OP50,control,30pct,,,1.4,MOD,2021-08-27,,,
cest-2.1,OP50,control,30pct,,,1.8,MOD,2021-08-27,,,
cest-2.1,OP50,control,30pct,,,2.5,MOD,2021-08-27,,,
cest-2.1,OP50,control,30pct,,,4.3,MOD,2021-08-27,,,
cest-2.1,OP50,control,30pct,,,1.8,MOD,2021-08-27,,,
cest-2.1,OP50,control,30pct,,,1.1,MOD,2021-08-27,,,
N2,OP50,control,30pct,,,1.17,TB,2021-08-27,,,
N2,OP50,control,30pct,,,3.14,TB,2021-08-27,,,
N2,OP50,control,30pct,,,4.07,TB,2021-08-27,,,
N2,OP50,control,30pct,,,3.21,TB,2021-08-27,,,
N2,OP50,control,30pct,,,2.33,TB,2021-08-27,,,
N2,OP50,control,30pct,,,1.25,TB,2021-08-27,,,
N2,OP50,control,30pct,,,1.79,TB,2021-08-27,,,
N2,OP50,control,30pct,,,2.98,TB,2021-08-27,,,
cest-2.1,OP50,control,30pct,,,2.6,MOD,2021-08-27,,,
cest-2.1,OP50,control,30pct,,,3.8,MOD,2021-08-27,,,
cest-2.1,OP50,control,30pct,,,1.5,MOD,2021-08-27,,,
cest-2.1,OP50,control,30pct,,,1.3,MOD,2021-08-27,,,
cest-2.1,OP50,control,30pct,,,2.9,MOD,2021-08-27,,,
cest-2.1,OP50,control,30pct,,,1.5,MOD,2021-08-27,,,
cest-2.1,OP50,control,30pct,,,2.3,MOD,2021-08-27,,,
cest-2.1,OP50,control,30pct,,,1.8,MOD,2021-08-27,,,
cest-2.1,OP50,control,30pct,,,3.6,MOD,2021-08-27,,,
cest-2.1,OP50,control,30pct,,,1.3,MOD,2021-08-27,,,
cest-2.1,OP50,control,30pct,,,8.6,TB,2021-08-31,,,
cest-2.1,OP50,control,30pct,,,4.17,TB,2021-08-31,,,
cest-2.1,OP50,control,30pct,,,5.22,TB,2021-08-31,,,
cest-2.1,OP50,control,30pct,,,7.1,TB,2021-08-31,,,
cest-2.1,OP50,control,30pct,,,2.41,TB,2021-08-31,,,
cest-2.1,OP50,control,30pct,,,3.41,TB,2021-08-31,,,
cest-2.1,OP50,control,30pct,,,6.32,TB,2021-08-31,,,
