N2_OP50	cest-2.1_OP50	N2_JUb39	cest-2.1_JUb39
2.61	4.40	4.48	2.70
4.29	4.60	6.08	5.80
2.56	3.80	2.86	4.50
3.06	2.90	2.41	16.20
2.41	4.30	2.44	4.00
3.08	4.60	3.26	6.20
3.24	3.20	3.44	5.90
3.89	5.80	8.66	3.50
2.96	3.90	5.16	4.20
2.31	5.40	6.83	3.40
8.13	4.80	2.91	2.40
3.38	5.10	6.99	7.60
4.29	3.00	4.23	4.00
2.96		3.24	4.30
3.31		5.73	3.50
		13.26	2.40
		3.38	3.50
