N2_OP50	cest-2.1_OP50	N2_JUb39	cest-2.1_JUb39
14.66	9.24	2.76	5.04
10.23	2.14	1.76	6.09
6.46	8.63	6.33	6.64
6.99	13.29	1.83	7.59
14.88	6.58	4.66	5.98
6.28	10.03	1.68	8.19
10.39	4.11	1.83	6.86
2.98	3.91	1.89	6.88
3.59	7.45	8.51	7.58
11.31	8.21	4.76	10.48
2.71	7.01	2.19	8.28
6.76	6.68	1.38	12.86
6.01	6.54	1.56	
3.58		2.41	
13.88			
