N2_OP50	cest-2.1_OP50	N2_JUb39	cest-2.1_JUb39
2.80	1.60	3.20	2.00
3.20	3.10	3.70	1.80
2.10	3.40	5.10	11.50
1.90	4.30	2.70	2.10
2.60	1.90	1.70	7.40
3.10	1.80	4.70	1.50
3.30	2.30	14.30	1.90
3.30	2.30	3.20	3.00
3.20	2.20	2.10	3.60
2.70	4.50	11.50	2.80
4.90	4.10	3.20	1.50
1.90	2.40	2.10	2.20
3.90	1.90	3.40	4.10
8.40	3.40	4.00	2.40
2.90		3.10	
2.00		3.30	
2.40		2.60	
